Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 35.70      7.68     7.68       30   256.06   256.06  Gaussian_Smooth::blur_y(float*, short*, float*, int)
 26.40     13.36     5.68       30   189.38   189.38  Gaussian_Smooth::blur_x(unsigned char*, float*, float*, int)
 10.83     15.69     2.33       30    77.68    82.69  Non_Max_Supp::non_max_supp(short*, short*, short*, unsigned char*)
 10.13     17.87     2.18       30    72.68    90.35  Apply_Hysteresis::apply_hysteresis(short*, unsigned char*, unsigned char*)
  9.62     19.94     2.07       30    69.02    69.02  Derivative_X_Y::derivative_x_y(short*, short*, short*)
  3.16     20.62     0.68       30    22.67    29.34  Magnitude_X_Y::magnitude_x_y(short*, short*, short*)
  2.46     21.15     0.53  6532325     0.00     0.00  Apply_Hysteresis::follow_edges(unsigned char*, short*, int, short)
  0.93     21.36     0.20 123302400     0.00     0.00  std::sqrt(float)
  0.70     21.51     0.15 123049080     0.00     0.00  std::atan2(float, float)
  0.05     21.52     0.01      150     0.07     0.07  sc_core::sc_fifo<IMAGE>::buf_read(IMAGE&)
  0.05     21.53     0.01        1    10.00    10.00  _GLOBAL__sub_I__ZN15Gaussian_Smooth15gaussian_kernelEfPfPi
  0.00     21.53     0.00      720     0.00     0.00  sc_core::sc_prim_channel::request_update()
  0.00     21.53     0.00      720     0.00     0.00  sc_core::sc_prim_channel_registry::request_update(sc_core::sc_prim_channel&)
  0.00     21.53     0.00      630     0.00     0.00  SIMAGE::operator=(SIMAGE const&)
  0.00     21.53     0.00      558     0.00     0.00  SIMAGE::SIMAGE()
  0.00     21.53     0.00      544     0.00     0.00  sc_core::sc_fifo<SIMAGE>::num_available() const
  0.00     21.53     0.00      453     0.00     0.00  sc_core::sc_fifo<IMAGE>::num_available() const
  0.00     21.53     0.00      450     0.00     0.00  IMAGE::operator=(IMAGE const&)
  0.00     21.53     0.00      449     0.00     0.00  sc_core::sc_fifo<SIMAGE>::num_free() const
  0.00     21.53     0.00      401     0.00     0.00  IMAGE::IMAGE()
  0.00     21.53     0.00      344     0.00     0.00  sc_core::sc_get_curr_simcontext()
  0.00     21.53     0.00      329     0.00     0.00  sc_core::sc_fifo<IMAGE>::num_free() const
  0.00     21.53     0.00      214     0.00     0.00  sc_core::sc_fifo_in<SIMAGE>::read(SIMAGE&)
  0.00     21.53     0.00      214     0.00     0.00  sc_core::sc_fifo<SIMAGE>::read(SIMAGE&)
  0.00     21.53     0.00      214     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<SIMAGE> >::operator->()
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo_out<SIMAGE>::write(SIMAGE const&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo<SIMAGE>::write(SIMAGE const&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo<SIMAGE>::nb_read(SIMAGE&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo<SIMAGE>::buf_read(SIMAGE&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo<SIMAGE>::nb_write(SIMAGE const&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_fifo<SIMAGE>::buf_write(SIMAGE const&)
  0.00     21.53     0.00      210     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<SIMAGE> >::operator->()
  0.00     21.53     0.00      153     0.00     0.07  sc_core::sc_fifo_in<IMAGE>::read(IMAGE&)
  0.00     21.53     0.00      153     0.00     0.07  sc_core::sc_fifo<IMAGE>::read(IMAGE&)
  0.00     21.53     0.00      153     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<IMAGE> >::operator->()
  0.00     21.53     0.00      150     0.00     0.00  sc_core::sc_fifo_out<IMAGE>::write(IMAGE const&)
  0.00     21.53     0.00      150     0.00     0.00  sc_core::sc_fifo<IMAGE>::write(IMAGE const&)
  0.00     21.53     0.00      150     0.00     0.07  sc_core::sc_fifo<IMAGE>::nb_read(IMAGE&)
  0.00     21.53     0.00      150     0.00     0.00  sc_core::sc_fifo<IMAGE>::nb_write(IMAGE const&)
  0.00     21.53     0.00      150     0.00     0.00  sc_core::sc_fifo<IMAGE>::buf_write(IMAGE const&)
  0.00     21.53     0.00      150     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<IMAGE> >::operator->()
  0.00     21.53     0.00       48     0.00     0.00  std::type_info::name() const
  0.00     21.53     0.00       48     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00     21.53     0.00       42     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::size() const
  0.00     21.53     0.00       42     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::size() const
  0.00     21.53     0.00       42     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::size() const
  0.00     21.53     0.00       42     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::size() const
  0.00     21.53     0.00       42     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>** std::__niter_base<sc_core::sc_fifo_in_if<IMAGE>**>(sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       42     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>** std::__niter_base<sc_core::sc_fifo_in_if<SIMAGE>**>(sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       42     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>** std::__niter_base<sc_core::sc_fifo_out_if<IMAGE>**>(sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       42     0.00     0.00  sc_core::sc_fifo_out_if<SIMAGE>** std::__niter_base<sc_core::sc_fifo_out_if<SIMAGE>**>(sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       36     0.00     0.00  sc_core::sc_process_b::reference_decrement()
  0.00     21.53     0.00       36     0.00     0.00  sc_core::sc_process_handle::~sc_process_handle()
  0.00     21.53     0.00       31     0.00     0.00  TEMP_IMAGE::TEMP_IMAGE()
  0.00     21.53     0.00       30     0.00     0.00  Gaussian_Smooth::gaussian_kernel(float, float*, int*)
  0.00     21.53     0.00       30     0.00     0.00  Monitor::write_pgm_image(char const*, unsigned char*)
  0.00     21.53     0.00       30     0.00     0.00  Stimulus::read_pgm_image(char const*, unsigned char*)
  0.00     21.53     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<IMAGE>**, std::vector<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> > >::base() const
  0.00     21.53     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<SIMAGE>**, std::vector<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> > >::base() const
  0.00     21.53     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<IMAGE>**, std::vector<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> > >::base() const
  0.00     21.53     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<SIMAGE>**, std::vector<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> > >::base() const
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>::base() const
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>::base() const
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>::base() const
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>::base() const
  0.00     21.53     0.00       28     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::_M_get_Tp_allocator()
  0.00     21.53     0.00       28     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::_M_get_Tp_allocator()
  0.00     21.53     0.00       28     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::_M_get_Tp_allocator()
  0.00     21.53     0.00       28     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::_M_get_Tp_allocator()
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>::move_iterator(sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>::move_iterator(sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>::move_iterator(sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>::move_iterator(sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<sc_core::sc_fifo_in_if<IMAGE>**>(std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>)
  0.00     21.53     0.00       28     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>** std::__miter_base<sc_core::sc_fifo_in_if<IMAGE>**>(sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<sc_core::sc_fifo_in_if<SIMAGE>**>(std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>)
  0.00     21.53     0.00       28     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>** std::__miter_base<sc_core::sc_fifo_in_if<SIMAGE>**>(sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<sc_core::sc_fifo_out_if<IMAGE>**>(std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>)
  0.00     21.53     0.00       28     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>** std::__miter_base<sc_core::sc_fifo_out_if<IMAGE>**>(sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<sc_core::sc_fifo_out_if<SIMAGE>**>(std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>)
  0.00     21.53     0.00       28     0.00     0.00  sc_core::sc_fifo_out_if<SIMAGE>** std::__miter_base<sc_core::sc_fifo_out_if<SIMAGE>**>(sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**> std::__make_move_if_noexcept_iterator<sc_core::sc_fifo_in_if<IMAGE>*, std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**> >(sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**> std::__make_move_if_noexcept_iterator<sc_core::sc_fifo_in_if<SIMAGE>*, std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**> >(sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**> std::__make_move_if_noexcept_iterator<sc_core::sc_fifo_out_if<IMAGE>*, std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**> >(sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**> std::__make_move_if_noexcept_iterator<sc_core::sc_fifo_out_if<SIMAGE>*, std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**> >(sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       28     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     21.53     0.00       28     0.00     0.00  operator new(unsigned long, void*)
  0.00     21.53     0.00       27     0.00     0.00  sc_core::sc_process_b::reference_increment()
  0.00     21.53     0.00       27     0.00     0.00  sc_core::sc_process_handle::sc_process_handle(sc_core::sc_process_handle const&)
  0.00     21.53     0.00       24     0.00     0.00  std::type_index::type_index(std::type_info const&)
  0.00     21.53     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<IMAGE>*>::max_size() const
  0.00     21.53     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_in_if<SIMAGE>*>::max_size() const
  0.00     21.53     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<IMAGE>*>::max_size() const
  0.00     21.53     0.00       21     0.00     0.00  __gnu_cxx::new_allocator<sc_core::sc_fifo_out_if<SIMAGE>*>::max_size() const
  0.00     21.53     0.00       21     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>* const& std::forward<sc_core::sc_fifo_in_if<IMAGE>* const&>(std::remove_reference<sc_core::sc_fifo_in_if<IMAGE>* const&>::type&)
  0.00     21.53     0.00       21     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>* const& std::forward<sc_core::sc_fifo_in_if<SIMAGE>* const&>(std::remove_reference<sc_core::sc_fifo_in_if<SIMAGE>* const&>::type&)
  0.00     21.53     0.00       21     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>* const& std::forward<sc_core::sc_fifo_out_if<IMAGE>* const&>(std::remove_reference<sc_core::sc_fifo_out_if<IMAGE>* const&>::type&)
  0.00     21.53     0.00       21     0.00     0.00  sc_core::sc_fifo_out_if<SIMAGE>* const& std::forward<sc_core::sc_fifo_out_if<SIMAGE>* const&>(std::remove_reference<sc_core::sc_fifo_out_if<SIMAGE>* const&>::type&)
  0.00     21.53     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<IMAGE>**, std::vector<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> > >::__normal_iterator(sc_core::sc_fifo_in_if<IMAGE>** const&)
  0.00     21.53     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_in_if<SIMAGE>**, std::vector<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> > >::__normal_iterator(sc_core::sc_fifo_in_if<SIMAGE>** const&)
  0.00     21.53     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<IMAGE>**, std::vector<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> > >::__normal_iterator(sc_core::sc_fifo_out_if<IMAGE>** const&)
  0.00     21.53     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<sc_core::sc_fifo_out_if<SIMAGE>**, std::vector<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> > >::__normal_iterator(sc_core::sc_fifo_out_if<SIMAGE>** const&)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<IMAGE> >::size() const
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_in_if<SIMAGE> >::size() const
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<IMAGE> >::size() const
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_port_b<sc_core::sc_fifo_out_if<SIMAGE> >::size() const
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::_M_get_Tp_allocator() const
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::_M_get_Tp_allocator() const
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::_M_get_Tp_allocator() const
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::_M_get_Tp_allocator() const
  0.00     21.53     0.00       14     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::max_size() const
  0.00     21.53     0.00       14     0.00     0.00  std::vector<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::max_size() const
  0.00     21.53     0.00       14     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::max_size() const
  0.00     21.53     0.00       14     0.00     0.00  std::vector<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::max_size() const
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_in_if<IMAGE>*>(sc_core::sc_fifo_in_if<IMAGE>* const*, sc_core::sc_fifo_in_if<IMAGE>* const*, sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_in_if<SIMAGE>*>(sc_core::sc_fifo_in_if<SIMAGE>* const*, sc_core::sc_fifo_in_if<SIMAGE>* const*, sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_out_if<IMAGE>*>(sc_core::sc_fifo_out_if<IMAGE>* const*, sc_core::sc_fifo_out_if<IMAGE>* const*, sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_out_if<SIMAGE>** std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<sc_core::sc_fifo_out_if<SIMAGE>*>(sc_core::sc_fifo_out_if<SIMAGE>* const*, sc_core::sc_fifo_out_if<SIMAGE>* const*, sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_in_if<IMAGE>**>(sc_core::sc_fifo_in_if<IMAGE>**, sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_in_if<SIMAGE>**>(sc_core::sc_fifo_in_if<SIMAGE>**, sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_out_if<IMAGE>**>(sc_core::sc_fifo_out_if<IMAGE>**, sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sc_core::sc_fifo_out_if<SIMAGE>**>(sc_core::sc_fifo_out_if<SIMAGE>**, sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<IMAGE>*, std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::_M_deallocate(sc_core::sc_fifo_in_if<IMAGE>**, unsigned long)
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_in_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::_M_deallocate(sc_core::sc_fifo_in_if<SIMAGE>**, unsigned long)
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<IMAGE>*, std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::_M_deallocate(sc_core::sc_fifo_out_if<IMAGE>**, unsigned long)
  0.00     21.53     0.00       14     0.00     0.00  std::_Vector_base<sc_core::sc_fifo_out_if<SIMAGE>*, std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::_M_deallocate(sc_core::sc_fifo_out_if<SIMAGE>**, unsigned long)
  0.00     21.53     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> >::max_size(std::allocator<sc_core::sc_fifo_in_if<IMAGE>*> const&)
  0.00     21.53     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> >::max_size(std::allocator<sc_core::sc_fifo_in_if<SIMAGE>*> const&)
  0.00     21.53     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> >::max_size(std::allocator<sc_core::sc_fifo_out_if<IMAGE>*> const&)
  0.00     21.53     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> >::max_size(std::allocator<sc_core::sc_fifo_out_if<SIMAGE>*> const&)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>, sc_core::sc_fifo_in_if<IMAGE>**>(std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>, std::move_iterator<sc_core::sc_fifo_in_if<IMAGE>**>, sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>, sc_core::sc_fifo_in_if<SIMAGE>**>(std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>, std::move_iterator<sc_core::sc_fifo_in_if<SIMAGE>**>, sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>, sc_core::sc_fifo_out_if<IMAGE>**>(std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>, std::move_iterator<sc_core::sc_fifo_out_if<IMAGE>**>, sc_core::sc_fifo_out_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_out_if<SIMAGE>** std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>, sc_core::sc_fifo_out_if<SIMAGE>**>(std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>, std::move_iterator<sc_core::sc_fifo_out_if<SIMAGE>**>, sc_core::sc_fifo_out_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<IMAGE>** std::__copy_move_a<true, sc_core::sc_fifo_in_if<IMAGE>**, sc_core::sc_fifo_in_if<IMAGE>**>(sc_core::sc_fifo_in_if<IMAGE>**, sc_core::sc_fifo_in_if<IMAGE>**, sc_core::sc_fifo_in_if<IMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_in_if<SIMAGE>** std::__copy_move_a<true, sc_core::sc_fifo_in_if<SIMAGE>**, sc_core::sc_fifo_in_if<SIMAGE>**>(sc_core::sc_fifo_in_if<SIMAGE>**, sc_core::sc_fifo_in_if<SIMAGE>**, sc_core::sc_fifo_in_if<SIMAGE>**)
  0.00     21.53     0.00       14     0.00     0.00  sc_core::sc_fifo_out_if<IMAGE>** std::__copy_move_a<true, sc_core::sc_fifo_out_if<IMAGE>**, sc_core::sc_fifo_out_if<IMAGE>**>(sc_core::sc_fifo_out_if<IMAGE>**, sc_core::sc_fifo_out_if<IMAGE>**, sc_core::sc_fifo_out_if<IMAGE>**)
